Voltage_0,Voltage_1
0.170768,1.097751
0.171413,1.096462
0.172702,1.096784
0.175925,1.107743
0.176248,1.1129
0.177215,1.122892
0.178504,1.13514
0.182694,1.150611
0.182372,1.163504
0.182049,1.173174
0.185272,1.176397
0.187851,1.17962
0.188496,1.185099
0.189463,1.195736
0.193653,1.212174
0.196876,1.231513
0.197198,1.251497
0.197198,1.270191
0.200099,1.280183
0.202033,1.283084
0.205256,1.279216
0.206223,1.273092
0.208157,1.266646
0.21138,1.268902
0.213636,1.277605
0.216859,1.289853
0.220405,1.296621
0.218471,1.288886
0.224595,1.274059
0.228141,1.261489
0.229752,1.257943
0.231041,1.266646
0.232653,1.284696
0.237488,1.302101
0.239744,1.311448
0.242,1.308869
0.245223,1.284051
0.246513,1.237959
0.248446,1.182521
0.250703,1.135785
0.255215,1.111289
0.257471,1.113867
0.260372,1.133206
0.262951,1.178008
0.263595,1.234092
0.26843,1.296944
0.275199,1.363663
0.27262,1.410722
0.277455,1.430705
0.278422,1.437152
0.280033,1.437152
0.284546,1.433929
0.288414,1.434573
0.291637,1.43973
0.297116,1.441987
0.29905,1.43554
0.302596,1.422003
0.307108,1.399763
0.306786,1.359473
0.314844,1.31177
0.317744,1.274704
0.321612,1.259232
0.32548,1.257621
0.32967,1.259555
0.334183,1.253431
0.340951,1.226356
0.343852,1.17962
0.344174,1.116123
0.35191,1.062941
0.355133,1.030387
0.360613,1.019106
0.365447,1.022974
0.370282,1.030065
0.375439,1.026842
0.37834,1.004602
0.384464,0.976238
0.388332,0.955287
0.394134,0.945618
0.395745,0.949808
0.401869,0.943361
0.407348,0.94594
0.41315,0.946262
0.416051,0.942717
0.42153,0.938527
0.425398,0.935303
0.431522,0.93208
0.438291,0.917254
0.441192,0.914998
0.449572,0.917898
0.452473,0.924667
0.460531,0.934981
0.463432,0.950775
0.470845,0.971403
0.473746,0.999122
0.480514,1.024908
0.483415,1.040379
0.485671,1.052305
0.49244,1.047792
0.498564,1.068743
0.502754,1.11419
,
2,
100,100
20-10-23,20-10-23
20:18.3,20:18.3
Volts,Volts
Time,Time
1.00E-01,1.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.508556,1.172851
0.511134,1.231835
0.51887,1.280505
0.523705,1.291787
0.527895,1.258266
0.532085,1.196058
0.536597,1.129339
0.541755,1.074545
0.546267,1.031354
0.553036,0.992354
0.557548,0.969469
0.56206,0.952386
0.568184,0.94175
0.573342,0.933047
0.577532,0.924345
0.583978,0.917576
0.58849,0.916287
0.596226,0.914031
0.597838,0.911452
0.600416,0.900493
0.605251,0.891791
0.608796,0.891146
0.612987,0.901138
0.618466,0.924022
0.623301,0.957221
0.62878,0.989453
0.630392,1.000734
0.636193,1.005891
0.639416,0.995577
0.646185,0.971725
0.650375,0.942072
0.656177,0.912741
0.658433,0.886956
0.665202,0.869873
0.66778,0.860204
0.671004,0.864394
0.67745,0.865683
0.683252,0.872774
0.680673,0.877286
0.686475,0.882121
0.690343,0.893725
0.694533,0.912419
0.699045,0.92789
0.703235,0.947229
0.706136,0.965279
0.710004,0.981395
0.716773,0.995899
0.720963,1.019106
0.72193,1.060363
0.728054,1.11709
0.732566,1.173818
0.733533,1.221199
0.737723,1.250208
0.742236,1.248596
0.742236,1.211207
0.746103,1.149
0.749327,1.080991
0.75674,1.014594
0.757707,0.961411
0.762542,0.934014
0.761575,0.930146
0.767376,0.949485
0.770922,0.984296
0.7735,1.020073
0.778335,1.042957
0.780591,1.036511
0.786071,0.994288
0.784781,0.942072
0.792195,0.889857
0.793806,0.842798
0.798963,0.807666
0.802831,0.779624
0.80541,0.755451
0.807344,0.74288
0.811534,0.727731
0.813468,0.723541
0.817335,0.725475
0.821203,0.733855
0.821526,0.729343
0.82636,0.733855
0.83055,0.739335
0.834741,0.749971
0.837319,0.76093
0.840542,0.769955
0.843121,0.789616
0.845055,0.790261
0.846344,0.80541
0.851823,0.824104
0.851179,0.845699
0.85698,0.875675
0.858914,0.902427
0.859881,0.934981
0.867617,0.965279
0.869228,0.983973
0.869873,0.992031
0.874708,0.990097
0.872129,0.971081
0.88051,0.944006
0.87922,0.918221
0.881799,0.89308
,
2,
100,100
20-10-23,20-10-23
20:18.4,20:18.4
Volts,Volts
Time,Time
2.00E-01,2.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.884055,0.875675
0.886634,0.845055
0.889212,0.838286
0.888245,0.850212
0.888245,0.881799
0.896948,0.93208
0.894692,0.989775
0.895014,1.037478
0.897592,1.083892
0.900171,1.120636
0.903716,1.13514
0.904683,1.115157
0.907262,1.063908
0.912419,1.001379
0.910485,0.948196
0.914998,0.914675
0.913708,0.899204
0.914031,0.893725
0.918543,0.893725
0.919188,0.867617
0.922088,0.829906
0.922088,0.787682
0.922411,0.749649
0.925956,0.717095
0.925956,0.683252
0.929179,0.667136
0.935626,0.6594
0.932725,0.660045
0.935626,0.666813
0.935948,0.683574
0.938204,0.716128
0.938527,0.758029
0.938527,0.804765
0.941428,0.856658
0.943684,0.89727
0.940783,0.934659
0.943684,0.950775
0.944328,0.948518
0.949808,0.937237
0.946907,0.916931
0.948518,0.889534
0.948841,0.861815
0.948841,0.841187
0.95013,0.83184
0.95013,0.832807
0.947874,0.835385
0.951419,0.840865
0.95013,0.847311
0.952709,0.855047
0.952064,0.855369
0.953676,0.869228
0.954643,0.877931
0.955932,0.876964
0.955609,0.869873
0.956254,0.861171
0.95851,0.852468
0.956576,0.842154
0.955287,0.839253
0.955287,0.841832
0.956576,0.849245
0.956576,0.862782
0.956576,0.88341
0.956254,0.903072
0.956899,0.910163
0.95851,0.913064
0.957866,0.913064
0.962056,0.898559
0.959477,0.873419
0.958833,0.848923
0.959155,0.829906
0.957221,0.817658
0.957221,0.817335
0.956899,0.821848
0.956899,0.845377
0.950452,0.889212
0.957543,0.960444
0.958833,1.074545
0.955287,1.207339
0.957543,1.305002
0.956576,1.332399
0.952386,1.291142
0.95432,1.203149
0.953676,1.080024
0.953998,0.963023
0.951742,0.879543
0.957221,0.815402
0.957866,0.768666
0.957221,0.740302
0.95432,0.726764
0.953676,0.73031
0.953998,0.741269
0.956899,0.767699
0.956254,0.80541
0.95432,0.845699
0.953676,0.882121
0.957866,0.895981
0.953676,0.894369
0.957221,0.868584
0.956254,0.830228
0.955609,0.791228
,
2,
100,100
20-10-23,20-10-23
20:18.5,20:18.5
Volts,Volts
Time,Time
3.00E-01,3.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.95851,0.759963
0.957543,0.738368
0.956254,0.736756
0.955932,0.730954
0.955932,0.739979
0.954643,0.761252
0.953353,0.796707
0.954965,0.833774
0.959155,0.884055
0.956899,0.928535
0.957221,0.966246
0.960767,0.991387
0.959155,0.998478
0.9598,0.990097
0.961089,0.970758
0.960122,0.945618
0.9598,0.915964
0.962056,0.886311
0.960767,0.860848
0.960444,0.837319
0.961411,0.826683
0.961734,0.829906
0.959155,0.846022
0.961411,0.86246
0.959477,0.889212
0.9598,0.903072
0.961411,0.900816
0.961734,0.891146
0.963023,0.876642
0.963667,0.85698
0.9627,0.834096
0.9627,0.827327
0.962378,0.812823
0.96399,0.820236
0.964634,0.844732
0.961089,0.882766
0.964634,0.924345
0.963345,0.96399
0.966891,0.980106
0.964957,0.98494
0.964634,0.972692
0.966891,0.953676
0.967213,0.936915
0.967535,0.922733
0.969147,0.907907
0.964634,0.894369
0.96818,0.882121
0.967858,0.887278
0.971081,0.891146
0.967858,0.91951
0.965601,0.973337
0.969147,1.032966
0.969147,1.056172
0.971081,1.045858
0.970436,1.018461
0.970114,0.983006
0.968824,0.94175
0.971081,0.914031
0.972692,0.891468
0.972048,0.868262
0.974626,0.839253
0.975271,0.807344
0.973982,0.778657
0.974626,0.76512
0.975271,0.758351
0.975271,0.763831
0.973982,0.781881
0.976882,0.811534
0.977527,0.854724
0.976238,0.906617
0.975593,0.98494
0.978494,1.065842
0.977205,1.112578
0.979139,1.109999
0.98075,1.066487
0.980106,1.008792
0.978494,0.956254
0.982684,0.912741
0.982362,0.872452
0.981073,0.837319
0.980106,0.80122
0.982362,0.769633
0.982684,0.74836
0.980428,0.737723
0.982684,0.734178
0.983006,0.744814
0.979461,0.772533
0.983651,0.810889
0.98075,0.855369
0.986552,0.904361
0.984618,0.960444
0.985585,1.017494
0.985263,1.063586
0.986552,1.10033
0.988164,1.116446
0.984618,1.118702
0.983329,1.090338
0.988486,1.032321
0.985907,0.963023
0.988486,0.900493
,
2,
100,100
20-10-23,20-10-23
20:18.6,20:18.6
