Voltage_0,Voltage_1
20-10-23,20-10-23
27:29.1,27:29.1
Volts,Volts
Time,Time
3.00E-01,3.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.940138,0.96399
0.938849,0.967535
0.94175,0.963667
0.940461,0.954643
0.938204,0.931758
0.938527,0.923378
0.93756,0.919832
0.936915,0.91951
0.939494,0.91532
0.93756,0.903716
0.93627,0.889857
0.93627,0.87922
0.935948,0.885989
0.935303,0.883733
0.935303,0.909518
0.931436,0.960444
0.931436,1.047148
0.931113,1.148033
0.932403,1.221844
0.932725,1.246984
0.929179,1.237315
0.930469,1.205083
0.930469,1.148033
0.931113,1.085826
0.925312,1.023618
0.926601,0.97656
0.928213,0.939171
0.92789,0.903716
0.92789,0.870195
0.925312,0.841832
0.924345,0.821526
0.922088,0.815079
0.9237,0.816046
0.921122,0.829261
0.91951,0.853435
0.918543,0.888568
0.921766,0.935626
0.919832,0.984296
0.918543,1.040379
0.920477,1.083569
0.919188,1.108066
0.917576,1.120636
0.921122,1.119669
0.920477,1.098718
0.916609,1.051015
0.91951,0.990097
0.917254,0.93208
0.916931,0.884377
0.917898,0.85408
0.913708,0.812501
0.913708,0.78317
0.913064,0.761575
0.917254,0.753517
0.916609,0.746426
0.915642,0.762864
0.914998,0.787038
0.916287,0.815079
0.91532,0.845377
0.913386,0.875675
0.916609,0.905973
0.914353,0.943039
0.915642,0.965601
0.914998,0.996221
0.911774,1.017494
0.913708,1.01685
0.913064,0.98913
0.912419,0.947229
0.912741,0.904039
0.912419,0.872452
0.912741,0.857303
0.912741,0.850534
0.91532,0.849889
0.91532,0.853113
0.910807,0.861815
0.912419,0.873419
0.910807,0.90146
0.912419,0.918221
0.911452,0.949163
0.908229,0.991064
0.910485,1.033933
0.909196,1.071321
0.910807,1.098074
0.910807,1.107421
0.909196,1.096784
0.906295,1.081636
0.909518,1.063586
0.909196,1.03361
0.907584,0.984296
0.907584,0.92789
0.910163,0.88051
0.909518,0.850534
0.90694,0.838608
0.907584,0.849245
0.906295,0.883088
0.904361,0.935626
0.908229,1.004602
0.904683,1.070999
0.90694,1.109999
0.90694,1.119991
0.906295,1.103875
,
2,
100,100
20-10-23,20-10-23
27:29.2,27:29.2
Volts,Volts
Time,Time
4.00E-01,4.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.908229,1.066164
0.90565,1.014594
0.90565,0.953676
0.904361,0.920477
0.905328,0.899204
0.910163,0.880187
0.907907,0.862782
0.908873,0.8486
0.907584,0.841509
0.905973,0.845055
0.908229,0.848923
0.907584,0.855369
0.905006,0.865038
0.905328,0.877286
0.909518,0.888245
0.906295,0.897592
0.907584,0.893402
0.907262,0.907262
0.909196,0.930791
0.910163,0.961089
0.908229,0.981395
0.912741,0.982039
0.91113,0.972048
0.910163,0.956254
0.912097,0.940461
0.908229,0.909518
0.911452,0.883733
0.907262,0.859237
0.910807,0.837964
0.910163,0.821526
0.908873,0.807666
0.910485,0.799286
0.909518,0.805087
0.90984,0.81798
0.912741,0.835708
0.91113,0.860204
0.90984,0.889534
0.910163,0.9237
0.912419,0.964312
0.912419,1.005246
0.912419,1.055206
0.910485,1.101942
0.912741,1.137074
0.915964,1.151578
0.911452,1.128694
0.908551,1.066487
0.91113,0.996544
0.90984,0.943039
0.910807,0.91951
0.910163,0.917898
0.911452,0.924022
0.914353,0.922733
0.910485,0.913064
0.91113,0.906295
0.914675,0.90984
0.909518,0.927246
0.910163,0.945618
0.90984,0.976238
0.91113,1.009436
0.907907,1.039412
0.911452,1.06004
0.909518,1.065842
0.90984,1.053594
0.910485,1.019751
0.914675,0.955932
0.909518,0.901783
0.908551,0.855047
0.910807,0.816046
0.91113,0.786715
0.91113,0.767376
0.910163,0.75674
0.91113,0.757384
0.91113,0.767376
0.909518,0.784459
0.908873,0.811534
0.908551,0.845699
0.91113,0.877286
0.910485,0.93337
0.908873,1.019751
0.910485,1.134818
0.91113,1.235703
0.914031,1.295977
0.912741,1.316605
0.911452,1.304357
0.912741,1.265356
0.916931,1.198959
0.911774,1.104198
0.912419,1.000734
0.911774,0.921766
0.913064,0.875675
0.910807,0.840542
0.90984,0.830873
0.911452,0.838286
0.91113,0.859559
0.907584,0.892435
0.910163,0.917576
0.908873,0.944973
0.91113,0.961411
0.912097,0.966891
0.91113,0.969147
,
2,
100,100
20-10-23,20-10-23
27:29.3,27:29.3
Volts,Volts
Time,Time
5.00E-01,5.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.913708,0.965601
0.912741,0.961089
0.913708,0.949163
0.91113,0.929502
0.913386,0.911452
0.90984,0.871485
0.91113,0.84022
0.911774,0.811534
0.911774,0.787682
0.911452,0.767376
0.911774,0.756418
0.910807,0.764798
0.914675,0.784459
0.912419,0.812823
0.912741,0.840865
0.912741,0.86665
0.912097,0.902749
0.913708,0.916609
0.913708,0.933692
0.913386,0.95013
0.914675,0.967858
0.914675,0.982039
0.915642,0.988808
0.912419,0.978172
0.912419,0.949485
0.913708,0.916931
0.914353,0.880187
0.916609,0.846344
0.91532,0.820236
0.914031,0.802509
0.914031,0.794129
0.914998,0.797352
0.912419,0.815402
0.911774,0.843443
0.913386,0.885344
0.90984,0.946585
0.91113,1.040057
0.910163,1.156091
0.91113,1.275348
0.909518,1.371077
0.909196,1.412656
0.908873,1.406209
0.908229,1.354316
0.90694,1.266646
0.907907,1.150611
0.907262,1.018784
0.908551,0.917576
0.905973,0.855047
0.905328,0.820236
0.906295,0.806699
0.905006,0.820559
0.900493,0.830873
0.900816,0.867617
0.900493,0.921444
0.898882,0.985907
0.901138,1.04199
0.901138,1.08228
0.89727,1.115479
0.898882,1.135463
0.897592,1.149
0.895336,1.135785
0.897592,1.08776
0.897592,1.013304
0.897915,0.940461
0.898882,0.886634
0.899849,0.845377
0.896303,0.814757
0.894692,0.797996
0.892758,0.787038
0.893402,0.782848
0.89308,0.787682
0.89308,0.800253
0.892435,0.819592
0.891468,0.847956
0.89308,0.891146
0.890501,0.943039
0.894047,1.009436
0.89308,1.075834
0.892758,1.111933
0.895658,1.117413
0.891146,1.106454
0.893725,1.08647
0.893402,1.056495
0.892113,1.027486
0.890501,0.972048
0.892758,0.928213
0.890824,0.886956
0.892435,0.848923
0.892435,0.815079
0.891791,0.79155
0.891146,0.764153
0.890501,0.762864
0.895014,0.77898
0.893725,0.809278
0.892113,0.851179
0.891791,0.89727
0.891468,0.9598
0.892435,1.012337
0.89308,1.080346
0.89308,1.141264
,
2,
100,100
20-10-23,20-10-23
