Voltage_0,Voltage_1
20-10-23,20-10-23
44:20.6,44:20.6
Volts,Volts
Time,Time
3.00E-01,3.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.182372,0.922733
0.180115,0.918543
0.179793,0.918221
0.179471,0.913708
0.179793,0.914031
0.182049,0.920155
0.183016,0.927246
0.182694,0.934659
0.182372,0.942072
0.181727,0.953676
0.181727,0.959477
0.180438,0.963345
0.181405,0.965279
0.179148,0.964634
0.182049,0.9627
0.180115,0.947229
0.179471,0.940138
0.181405,0.931113
0.181727,0.923055
0.182372,0.916931
0.182049,0.913386
0.180115,0.915964
0.181727,0.921122
0.182372,0.926923
0.18076,0.934337
0.179471,0.935626
0.177859,0.938527
0.178181,0.94594
0.181727,0.953998
0.181405,0.962378
0.181082,0.969147
0.179793,0.972048
0.181405,0.973982
0.18076,0.972692
0.176892,0.967858
0.179148,0.963667
0.179793,0.961411
0.178826,0.948841
0.178181,0.946907
0.179793,0.944651
0.179793,0.942072
0.179148,0.939816
0.178826,0.935948
0.17657,0.943684
0.176892,0.938527
0.177215,0.944006
0.177859,0.949163
0.178504,0.955609
0.178181,0.955932
0.178826,0.957866
0.177537,0.961089
0.181727,0.961411
0.180115,0.95851
0.180115,0.952709
0.180115,0.945295
0.179148,0.940138
0.180438,0.932725
0.177537,0.925634
0.177215,0.920155
0.178504,0.913064
0.178181,0.903394
0.17657,0.901783
0.18076,0.902749
0.180438,0.905973
0.175925,0.908873
0.180438,0.921766
0.179148,0.925634
0.178826,0.93337
0.178181,0.94175
0.179148,0.950452
0.178826,0.952386
0.179148,0.949808
0.178826,0.95013
0.179471,0.949163
0.178504,0.944973
0.180115,0.940138
0.180115,0.935303
0.18076,0.934337
0.179471,0.931758
0.178181,0.930469
0.179471,0.930791
0.177215,0.931436
0.177537,0.922733
0.179148,0.925312
0.183339,0.929502
0.180438,0.935626
0.180115,0.942072
0.18076,0.947552
0.181727,0.956254
0.18076,0.965601
0.180438,0.97237
0.181082,0.978172
0.180438,0.983329
0.180115,0.980106
0.177537,0.985263
0.181727,0.99042
0.183016,0.99461
0.183016,0.998155
0.183016,1.003312
0.183016,1.005569
,
2,
100,100
20-10-23,20-10-23
44:20.7,44:20.7
Volts,Volts
Time,Time
4.00E-01,4.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.182372,1.008792
0.182372,1.011048
0.181082,1.009436
0.181082,1.006536
0.182694,1.00299
0.182372,0.988486
0.182372,0.98075
0.181727,0.979139
0.186884,0.978494
0.186239,0.979139
0.186884,0.979461
0.18495,0.980428
0.187851,0.985907
0.187529,0.993965
0.185595,1.001701
0.185272,1.008792
0.187529,1.013627
0.186884,1.007825
0.187206,1.005246
0.186884,1.007503
0.189785,1.014271
0.190107,1.023618
0.18914,1.030387
0.188173,1.0349
0.190107,1.04747
0.18914,1.049081
0.193008,1.051338
0.193008,1.051015
0.193975,1.045536
0.19462,1.036511
0.193975,1.017172
0.194297,1.00299
0.197198,0.988486
0.202033,0.975271
0.199454,0.965924
0.200421,0.96399
0.200744,0.966246
0.202355,0.973337
0.203967,0.982362
0.202355,0.989453
0.204611,0.997188
0.206223,1.003635
0.205578,1.000734
0.207835,1.002345
0.206868,1.00718
0.212025,1.01137
0.212992,1.019428
0.215892,1.031032
0.217504,1.04328
0.219116,1.063586
0.220405,1.062941
0.222017,1.066164
0.221694,1.070354
0.225884,1.075834
0.22524,1.085181
0.228463,1.088404
0.22943,1.086148
0.230397,1.090983
0.234265,1.096784
0.237488,1.105165
0.238455,1.119024
0.240711,1.137719
0.242,1.155769
0.243934,1.170273
0.248769,1.166727
0.247157,1.156091
0.251347,1.140942
0.251347,1.123214
0.255215,1.098074
0.258438,1.065197
0.258761,1.020718
0.262628,0.983651
0.265207,0.956576
0.270364,0.935303
0.270042,0.918543
0.274232,0.904039
0.277455,0.893725
0.278744,0.890179
0.282612,0.885667
0.284224,0.883733
0.284224,0.883733
0.288414,0.879865
0.291637,0.88341
0.292604,0.891791
0.300984,0.903716
0.304207,0.920799
0.304852,0.94175
0.307753,0.979783
0.310976,1.002668
0.315488,1.036189
0.316133,1.069387
0.319356,1.098396
0.324191,1.119669
0.326769,1.126438
0.326769,1.129661
0.331282,1.127405
0.335794,1.11838
0.341274,1.10452
0.341274,1.08776
0.346431,1.068098
,
2,
100,100
20-10-23,20-10-23
44:20.8,44:20.8
Volts,Volts
Time,Time
5.00E-01,5.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.348365,1.044247
0.350943,1.026197
0.351265,0.992998
0.355778,0.969791
0.362869,0.953031
0.361902,0.940461
0.363836,0.926601
0.367704,0.914353
0.369637,0.91113
0.37415,0.912097
0.377695,0.915964
0.380274,0.920477
0.385753,0.924022
0.385109,0.928213
0.390588,0.928213
0.390266,0.923378
0.3922,0.916609
0.394778,0.908551
0.397357,0.88889
0.400258,0.87922
0.405092,0.872129
0.406382,0.868584
0.406382,0.867939
0.412183,0.87503
0.412828,0.877609
0.411216,0.885022
0.414439,0.894692
0.419274,0.90565
0.421853,0.908229
0.420241,0.917576
0.426687,0.925312
0.428944,0.931758
0.427332,0.933692
0.432167,0.93208
0.430233,0.935948
0.433778,0.926601
0.434423,0.919188
0.437324,0.912741
0.437002,0.906295
0.436357,0.895336
0.437646,0.88889
0.439258,0.888568
0.441514,0.891791
0.44506,0.898237
0.443448,0.905328
0.445704,0.928857
0.444093,0.933047
0.441514,0.946585
0.444093,0.957221
0.44506,0.965924
0.445704,0.96399
0.444093,0.95851
0.443448,0.95432
0.448605,0.946907
0.449894,0.939494
0.448927,0.93337
0.446993,0.929824
0.447638,0.928535
0.446993,0.931758
0.44377,0.934981
0.445704,0.940461
0.44377,0.947229
0.44506,0.944651
0.440869,0.950452
0.442803,0.956899
0.445704,0.960767
0.446026,0.9627
0.44377,0.964634
0.44377,0.97237
0.441836,0.964312
0.440225,0.957543
0.441514,0.947552
0.442159,0.936593
0.440225,0.921122
0.436679,0.899849
0.439902,0.890179
0.442159,0.881799
0.43958,0.877931
0.438291,0.87922
0.437324,0.89727
0.433134,0.894692
0.430878,0.900816
0.4312,0.904361
0.432489,0.907584
0.431522,0.899526
0.431845,0.899526
0.432489,0.90146
0.430233,0.904039
0.430878,0.904361
0.433134,0.905006
0.430233,0.912741
0.427977,0.91951
0.426365,0.924667
0.426365,0.929179
0.423142,0.93208
0.425398,0.922733
0.421853,0.921766
0.42701,0.917576
0.424754,0.912419
0.423142,0.906295
,
2,
100,100
20-10-23,20-10-23
44:20.9,44:20.9
Volts,Volts
Time,Time
6.00E-01,6.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.423464,0.900171
0.422175,0.895981
0.419597,0.890824
0.418952,0.8847
0.418307,0.880187
0.416373,0.874063
0.416051,0.865361
0.417985,0.865038
0.420563,0.866328
0.419919,0.868584
0.417663,0.873096
0.417663,0.891468
0.415729,0.891146
0.411861,0.900816
0.413795,0.910485
0.414762,0.919188
0.413795,0.91532
0.413472,0.915642
0.411539,0.912741
0.413472,0.906617
0.411861,0.899204
0.409927,0.892113
0.414439,0.88889
0.408638,0.886956
0.408638,0.886956
0.405415,0.890824
0.406382,0.895658
0.406704,0.889534
0.406059,0.894369
0.410894,0.90146
0.408638,0.90984
0.407671,0.918543
0.405737,0.93208
0.409927,0.935626
0.403481,0.93756
0.404125,0.936593
0.403481,0.930791
0.405092,0.924022
0.402191,0.900493
0.401547,0.887601
0.403803,0.875353
0.403158,0.864716
0.400902,0.85698
0.40058,0.864716
0.400902,0.859559
0.398968,0.865038
0.400258,0.872774
0.398646,0.8847
0.398968,0.890501
0.399935,0.908551
0.401869,0.927568
0.399935,0.944651
0.404125,0.957543
0.396067,0.964312
0.401869,0.968824
0.399613,0.969791
0.397679,0.96818
0.398968,0.965601
0.399291,0.962056
0.397034,0.945618
0.397034,0.936915
0.400902,0.928535
0.398646,0.920155
0.401869,0.914675
0.40058,0.910807
0.399613,0.920155
0.398324,0.906617
0.395745,0.900171
0.398646,0.894692
0.397679,0.890501
0.397679,0.875675
0.399291,0.87084
0.398001,0.867617
0.400902,0.865038
0.395745,0.864071
0.397357,0.866972
0.398324,0.867295
0.398324,0.867295
0.399613,0.867617
0.399613,0.869873
0.395745,0.863749
0.397679,0.869873
0.398646,0.876642
0.399291,0.885344
0.397034,0.895014
0.40058,0.903394
0.397679,0.912419
0.398324,0.913386
0.398968,0.913386
0.39639,0.913064
0.397679,0.912419
0.40058,0.896948
0.40058,0.892758
0.402191,0.885022
0.397034,0.875675
0.400258,0.86665
0.397679,0.871162
0.400258,0.859237
0.398324,0.859881
0.399935,0.862782
,
2,
100,100
20-10-23,20-10-23
44:21.0,44:21.0
Volts,Volts
Time,Time
7.00E-01,7.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.398324,0.868906
0.398324,0.864394
0.399291,0.87084
0.403158,0.877609
0.397679,0.883733
0.40058,0.890179
0.401224,0.907584
0.401224,0.905328
0.397357,0.913064
0.40058,0.920477
0.398968,0.926601
0.398968,0.921766
0.401869,0.924667
0.40058,0.927246
0.404125,0.931436
0.403158,0.936593
0.402191,0.942072
0.402514,0.958833
0.401547,0.953998
0.398324,0.956899
0.40058,0.954965
0.399613,0.951742
0.400258,0.942717
0.399935,0.939494
0.398968,0.943361
0.402191,0.949808
0.400902,0.959477
0.402191,0.973015
0.401869,0.985907
0.403803,0.996866
0.400258,1.001379
0.399291,0.996866
0.401224,0.984296
0.404448,0.964634
0.402191,0.930791
0.398324,0.90565
0.401224,0.883733
0.402514,0.86665
0.402514,0.852468
0.402191,0.842798
0.404125,0.839253
0.401224,0.834096
0.40477,0.833451
0.404125,0.837641
0.405092,0.835708
0.400258,0.850212
0.403803,0.866972
0.402514,0.885667
0.403158,0.904683
0.405415,0.926601
0.405415,0.939816
0.40477,0.945618
0.404448,0.945295
0.405737,0.941428
0.405415,0.934659
0.401869,0.917254
0.403158,0.909196
0.407026,0.899204
0.404125,0.890824
0.403803,0.88341
0.403803,0.890179
0.403803,0.879543
0.399291,0.88051
0.403481,0.884377
0.403803,0.891791
0.402191,0.889534
0.401869,0.898882
0.405415,0.910163
0.405092,0.919832
0.405415,0.928857
0.406382,0.93627
0.406704,0.944651
0.404125,0.943684
0.401547,0.942072
0.401869,0.938849
0.404125,0.932403
0.400902,0.913708
0.401224,0.903716
0.405737,0.895014
0.405737,0.886634
0.403481,0.881799
0.402836,0.884377
0.40058,0.884377
0.401547,0.890501
0.402191,0.900493
0.401547,0.91532
0.402514,0.924667
0.400258,0.947552
0.402514,0.975915
0.405092,1.005569
0.402191,1.033933
0.401869,1.053272
0.400902,1.058106
0.402514,1.048759
0.401869,1.025875
0.398324,0.996544
0.399613,0.966246
0.399613,0.940783
0.398646,0.911452
0.399291,0.892758
,
2,
100,100
20-10-23,20-10-23
44:21.1,44:21.1
Volts,Volts
Time,Time
8.00E-01,8.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.399935,0.879543
0.397679,0.871485
0.402191,0.867939
0.399291,0.868584
0.400258,0.876319
0.397034,0.885344
0.397357,0.896625
0.397034,0.90984
0.397679,0.920799
0.399935,0.924989
0.398001,0.935948
0.400902,0.944973
0.401547,0.951097
0.395745,0.952386
0.40058,0.947229
0.398324,0.94175
0.396712,0.930791
0.397679,0.920477
0.39639,0.912097
0.394778,0.907584
0.397034,0.895658
0.395423,0.896948
0.399935,0.902427
0.397679,0.910807
0.395745,0.922733
0.396712,0.94594
0.397034,0.952386
0.397679,0.966246
0.396712,0.974949
0.396712,0.978172
0.397034,0.975593
0.397357,0.961411
0.398324,0.952709
0.401224,0.94175
0.398646,0.931113
0.396067,0.921766
0.396712,0.913708
0.397679,0.912419
0.398324,0.907262
0.396712,0.904361
0.39639,0.900171
0.394778,0.88889
0.395745,0.88341
0.397679,0.880187
0.398968,0.87922
0.398001,0.882443
0.397357,0.889212
0.397679,0.904039
0.397357,0.921444
0.394134,0.939816
0.3951,0.956576
0.3951,0.970436
0.397357,0.968824
0.400902,0.973337
0.397679,0.97237
0.399935,0.966568
0.40058,0.956576
0.397679,0.942072
0.396712,0.939816
0.396712,0.919188
0.392522,0.910485
0.394456,0.904361
0.394778,0.900171
0.398646,0.890824
0.393167,0.891791
0.395745,0.895336
0.396067,0.901138
0.395423,0.90984
0.397357,0.918865
0.395745,0.929502
0.397034,0.937882
0.39639,0.941105
